economy,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
CAF,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,-80.0,-3693.0,-7259.0,-9634.0,-9800.0,-9838.0,-9895.0,-33645.0,-35782.0,-37874.0,-39850.0,-41539.0,-42872.0,-43908.0,-44780.0,-45591.0,-46427.0,-47332.0,-47428.0,-31016.0,409.0,1995.0,4381.0,9269.0,9930.0,9496.0,-12986.0,2697.0,2034.0,4479.0,6284.0,8079.0,-33006.0,5992.0,-18097.0,-16510.0,-13604.0,-41282.0,-30352.0,-28983.0,-28899.0,-43126.0,-86281.0,-111764.0,-112382.0,-174051.0,-63045.0,-52607.0,-58584.0,-52954.0,-36849.0,-24745.0,-85646.0,-17430.0,-14682.0
CAN,49694.0,34721.0,35373.0,51831.0,68003.0,112401.0,144641.0,132856.0,108864.0,93600.0,304627.0,210244.0,89880.0,125401.0,155596.0,139797.0,106894.0,70339.0,52781.0,86719.0,122743.0,113461.0,89544.0,66172.0,55982.0,69776.0,121928.0,171308.0,238003.0,258094.0,181461.0,134463.0,138121.0,133426.0,134863.0,141818.0,154553.0,144678.0,142346.0,158342.0,201727.0,222100.0,208060.0,185643.0,194611.0,204526.0,202175.0,213801.0,238083.0,244463.0,225369.0,227075.0,243748.0,239813.0,192884.0,224332.0,329455.0,372685.0,420224.0,387685.0,256592.0,198867.0,459988.0,433842.0
CEB,-58018.0,-60353.0,-82854.0,-63792.0,-74612.0,-80692.0,-41319.0,18789.0,31277.0,51875.0,2460.0,49990.0,49682.0,39568.0,3913.0,-46208.0,2098.0,-56839.0,-145581.0,-42249.0,-69940.0,-42984.0,-45311.0,-18260.0,-36311.0,-62241.0,-26749.0,-53525.0,-110371.0,-250743.0,-215793.0,-256676.0,-377048.0,-256064.0,-231755.0,-228410.0,-216086.0,-224598.0,-208220.0,-200276.0,-196924.0,-130075.0,-119846.0,-122185.0,-161032.0,-195739.0,-193602.0,-169376.0,-190262.0,-173417.0,-103905.0,-141804.0,-78436.0,-53400.0,-50434.0,-70563.0,-112017.0,-105389.0,-5347.0,36399.0,79111.0,36967.0,1701818.0,83236.0
CHE,22313.0,101278.0,82798.0,58415.0,21455.0,-1351.0,14979.0,27697.0,25828.0,20754.0,-18326.0,2636.0,19991.0,8158.0,2008.0,-58187.0,-54255.0,-22516.0,-6552.0,4262.0,17841.0,24229.0,21929.0,5663.0,12532.0,14402.0,23242.0,27081.0,34602.0,34432.0,58428.0,69738.0,42014.0,40267.0,30274.0,25343.0,-131.0,-1939.0,11325.0,25599.0,24463.0,35420.0,49650.0,42567.0,39484.0,33203.0,37308.0,72475.0,94430.0,69324.0,76388.0,67194.0,67840.0,83823.0,78122.0,71876.0,71009.0,45658.0,41253.0,44517.0,55523.0,50665.0,96424.0,45098.0
CHI,385.0,685.0,709.0,683.0,734.0,793.0,841.0,928.0,934.0,944.0,1034.0,1073.0,1067.0,986.0,931.0,810.0,456.0,254.0,249.0,241.0,249.0,1012.0,1357.0,1175.0,1264.0,1245.0,1185.0,1116.0,1081.0,1096.0,1392.0,311.0,-109.0,-39.0,-184.0,-291.0,236.0,296.0,267.0,207.0,169.0,679.0,802.0,774.0,768.0,810.0,805.0,765.0,745.0,764.0,742.0,705.0,741.0,696.0,721.0,432.0,307.0,666.0,890.0,900.0,858.0,933.0,820.0,860.0
CHL,-27184.0,-27159.0,-28023.0,-29082.0,-31261.0,-33988.0,-36446.0,-38159.0,-38224.0,-36976.0,-36079.0,-34147.0,-32584.0,-31878.0,-31211.0,-30524.0,-29967.0,-29651.0,-29644.0,-29873.0,-28060.0,-28096.0,-26646.0,-23386.0,-21188.0,-18047.0,-17148.0,-11958.0,-9131.0,-6186.0,-1274.0,-2207.0,0.0,1164.0,1930.0,2454.0,2942.0,3504.0,10984.0,8226.0,7067.0,6346.0,7824.0,9225.0,11495.0,14289.0,17285.0,20170.0,22488.0,24324.0,26048.0,28086.0,30870.0,36529.0,52702.0,55689.0,135864.0,220621.0,237807.0,181339.0,26042.0,65480.0,59374.0,62679.0
CHN,-16927.0,-25578.0,-31305.0,-31383.0,-1250441.0,-130900.0,4165.0,1246654.0,-37290.0,-72836.0,-126510.0,-180153.0,-215650.0,-214997.0,-175239.0,-115173.0,-55109.0,-15323.0,-9916.0,-13704.0,-20129.0,-28016.0,-36181.0,-43756.0,-51961.0,-60929.0,-79190.0,-169170.0,-282194.0,-313476.0,-11187.0,-544650.0,-142985.0,-373316.0,-723641.0,-365986.0,-250750.0,-279251.0,-40472.0,-96102.0,-62622.0,-176419.0,-761291.0,-613223.0,-770977.0,-103701.0,-759559.0,-1042019.0,-764370.0,-177135.0,-184144.0,-416189.0,-58864.0,-188951.0,-371108.0,-646941.0,-153056.0,-94625.0,-198206.0,-656091.0,-91577.0,-379749.0,-293846.0,-567724.0
CIV,31307.0,36410.0,39670.0,40125.0,40125.0,40125.0,40125.0,40125.0,41198.0,48192.0,58883.0,69728.0,77213.0,78963.0,79445.0,79766.0,12735.0,22452.0,31822.0,40355.0,47031.0,51354.0,53384.0,53646.0,52594.0,50872.0,48233.0,45028.0,53187.0,67324.0,79979.0,92228.0,104006.0,113215.0,120247.0,124501.0,125556.0,124443.0,109961.0,-42777.0,-63843.0,-76679.0,-90503.0,-99880.0,-108869.0,-117342.0,-124651.0,-130079.0,-150037.0,-168027.0,-182689.0,-200010.0,-232712.0,-250964.0,-23011.0,522.0,18568.0,-796.0,5395.0,2043.0,-12390.0,1322.0,26777.0,6002.0
CMR,0.0,0.0,0.0,0.0,0.0,-39.0,-96.0,-148.0,-204.0,-286.0,-367.0,-439.0,-473.0,-466.0,-377.0,-237.0,-19994.0,-20622.0,-1282.0,-12108.0,70589.0,27845.0,-139974.0,-37346.0,-3512.0,-3604.0,-3671.0,-3829.0,-16016.0,-11244.0,-8163.0,-14520.0,-13702.0,-9601.0,-12028.0,-12661.0,-12738.0,-13842.0,-12446.0,-17398.0,-21221.0,-19203.0,-10766.0,-18568.0,-19444.0,-27775.0,-28528.0,-10807.0,-10720.0,-10203.0,-9366.0,-12669.0,-7523.0,-6900.0,96599.0,42008.0,13255.0,-37912.0,-9184.0,-12255.0,-9888.0,-9888.0,-4798.0,-4798.0
COD,27673.0,35654.0,39431.0,41960.0,48207.0,61397.0,54443.0,64307.0,57274.0,46778.0,39116.0,-5497.0,2840.0,7414.0,3216.0,-972.0,-25965.0,-26355.0,268974.0,181028.0,51685.0,54656.0,97495.0,146095.0,190045.0,118791.0,70988.0,111220.0,101314.0,84415.0,219270.0,86721.0,252666.0,240176.0,1232105.0,-273434.0,-777833.0,-527356.0,295560.0,109761.0,79340.0,26523.0,-17358.0,-106731.0,4260.0,20384.0,-29715.0,-99742.0,-82339.0,-46009.0,8823.0,40891.0,53668.0,121097.0,36966.0,-17711.0,440748.0,176290.0,-124246.0,-144920.0,-1633.0,-64639.0,-14991.0,-14992.0
COG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,-312.0,-10944.0,-11971.0,-12673.0,-13356.0,-14378.0,-14972.0,-15630.0,-16664.0,-18720.0,0.0,182.0,367.0,525.0,22.0,1214.0,-395.0,1966.0,0.0,10218.0,1850.0,3747.0,1085.0,-20704.0,10500.0,2470.0,79780.0,-764.0,-16140.0,26280.0,25412.0,38337.0,35475.0,31239.0,1774.0,86014.0,12318.0,5262.0,-26643.0,-24605.0,-21598.0,-18207.0,-14783.0,-11601.0,-8856.0,-6268.0,-4472.0,-4476.0,-995.0,-995.0
COL,-49115.0,-47849.0,-50108.0,-52631.0,-53972.0,-51855.0,-59395.0,-57256.0,-61442.0,-64238.0,-66065.0,-84712.0,-77708.0,-75630.0,-80816.0,-84462.0,-98057.0,-67638.0,-67870.0,-63657.0,-44203.0,-50351.0,-37090.0,-13329.0,-18692.0,-21408.0,-42368.0,-36040.0,-25064.0,-21329.0,-7590.0,-48458.0,-15147.0,-30103.0,-16023.0,-33097.0,-28251.0,-23600.0,-8186.0,-22698.0,-27878.0,-28582.0,-24387.0,-33114.0,-25949.0,-41465.0,-39303.0,-49634.0,-63313.0,-46901.0,-34220.0,-46385.0,-56070.0,-64789.0,-67522.0,-41123.0,104373.0,431072.0,495524.0,396826.0,227130.0,199070.0,183180.0,154521.0
COM,-1406.0,-1518.0,-1667.0,-1764.0,-1924.0,-2261.0,-1408.0,465.0,592.0,769.0,966.0,1216.0,1461.0,1684.0,1840.0,1986.0,1585.0,1377.0,909.0,468.0,-344.0,-999.0,-1065.0,-1122.0,-1259.0,-1339.0,-1502.0,-1687.0,-1832.0,-1860.0,-2141.0,-3323.0,-5198.0,-5196.0,-5024.0,-4951.0,-4805.0,-4508.0,-4194.0,-3490.0,-2557.0,-2029.0,-1925.0,-4112.0,-2455.0,-2760.0,-3020.0,-3147.0,-3294.0,-3553.0,-3832.0,-3897.0,-3835.0,-2365.0,-2667.0,-2815.0,-2938.0,-2920.0,-2917.0,-2916.0,-1766.0,-1766.0,-2002.0,-2002.0
CPV,-2267.0,49.0,904.0,945.0,1006.0,1093.0,1230.0,1376.0,1521.0,1608.0,172.0,-4085.0,-6316.0,-6410.0,-6512.0,-5829.0,-6389.0,-6730.0,-6833.0,-6875.0,-5980.0,-5684.0,-5629.0,-5834.0,-6035.0,-6192.0,-6314.0,-6418.0,-6474.0,-5704.0,-2398.0,-2924.0,-3231.0,-3393.0,-3299.0,-3125.0,-3297.0,-3211.0,-3332.0,-3371.0,-2772.0,-2528.0,-2751.0,-2898.0,-2993.0,-2768.0,-2408.0,-2200.0,-2340.0,-2618.0,-5069.0,-7226.0,-6779.0,-6622.0,-6578.0,-6226.0,-6004.0,-5550.0,-4679.0,-4001.0,-3362.0,0.0,-1253.0,-1226.0
CRI,910.0,924.0,934.0,938.0,934.0,932.0,930.0,926.0,939.0,1017.0,1137.0,1296.0,1366.0,1468.0,1839.0,1992.0,2129.0,2228.0,2296.0,2349.0,2387.0,2431.0,2453.0,2449.0,2402.0,2357.0,2302.0,2267.0,2414.0,3758.0,7949.0,10757.0,13069.0,14431.0,15587.0,16609.0,17393.0,16954.0,15556.0,13253.0,8826.0,7119.0,5812.0,5216.0,4856.0,4567.0,4321.0,4080.0,3794.0,3432.0,2357.0,1695.0,1587.0,1579.0,1589.0,1617.0,1649.0,1671.0,1673.0,1653.0,1029.0,1018.0,1006.0,995.0
CSS,-19498.0,-24316.0,-21343.0,-21929.0,-25030.0,-24803.0,-23748.0,-22343.0,-20891.0,-21181.0,-27501.0,-28646.0,-42902.0,-43938.0,-44267.0,-43283.0,-43286.0,-43617.0,-44274.0,-45475.0,-43209.0,-46337.0,-47563.0,-48100.0,-47448.0,-42614.0,-43598.0,-45643.0,-42602.0,-43630.0,-46122.0,-35417.0,-31271.0,-32863.0,-27678.0,-22740.0,-22034.0,-21260.0,-20367.0,-19769.0,-20051.0,-17513.0,-14717.0,-12372.0,-16581.0,-16904.0,-15868.0,-15915.0,-15915.0,-15529.0,-16092.0,-14685.0,-8556.0,-6395.0,-8043.0,-6976.0,-6612.0,-4667.0,64330.0,-40925.0,-2468.0,3618.0,2737.0,-4680.0
CUB,-25396.0,-33163.0,-39116.0,-41979.0,-44406.0,-46683.0,-48509.0,-49556.0,-49387.0,-47446.0,-44466.0,-43056.0,-50031.0,-52073.0,-52697.0,-46268.0,-41042.0,-36811.0,-29839.0,-35473.0,-37114.0,-22159.0,-21055.0,-19994.0,-18994.0,-18048.0,-17146.0,-16290.0,-15474.0,-14705.0,-15438.0,-20665.0,-21867.0,-24358.0,-27501.0,-29235.0,-26105.0,-35712.0,-33863.0,-31456.0,-24980.0,-23442.0,-25535.0,-24916.0,-16776.0,-16561.0,-12619.0,-19050.0,-29427.0,-35063.0,-34121.0,-35313.0,-36101.0,-37619.0,-39426.0,-24910.0,-24146.0,-23394.0,-23779.0,-23955.0,-11976.0,-11976.0,-23149.0,-22797.0
